,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-01-31,39.52710723876953,97.48707580566406,3.5636565685272217,55.833038330078125,165.39210510253906,22.178071975708008,150.14569091796875,247.82000732421875,84.9312515258789,23.89048385620117,167.3487091064453,34.07426452636719,93.36275482177734,40.45436477661133,42.19750595092773,108.74317932128906,239.08758544921875,29.00360679626465,59.50276947021485,56.75370788574219,241.0084686279297,64.54410552978516,72.23306274414062,85.9365005493164,20.468000411987305,151.09657287597656,74.24500274658203,58.178688049316406,59.748313903808594,194.0538024902344,52.57762145996094,83.4878921508789,52.75567626953125,36.11177444458008,74.19763946533203,71.30618286132812,114.76913452148438,374.7057495117188,116.4994888305664,79.06552124023438,62.77715301513672,147.8706512451172,37.41285705566406,65.6938705444336,143.90939331054688,56.59986114501953,146.2947540283203,37.25371551513672
2019-02-28,41.2969856262207,105.02842712402344,3.8281478881835938,55.86576461791992,160.19290161132812,22.765905380249023,161.68548583984375,262.5,85.636962890625,24.52694702148437,166.91294860839844,33.81648635864258,97.94454193115234,41.26493835449219,41.66619110107422,112.39265441894533,214.3293914794922,29.6185302734375,58.72459030151367,61.98453521728516,254.6447906494141,68.64775085449219,73.9573974609375,81.99150085449219,21.32533264160156,156.3622589111328,77.7359848022461,60.30185317993164,59.98067855834961,198.303955078125,57.33272552490234,87.9532699584961,53.120487213134766,36.405887603759766,70.30824279785156,72.62359619140625,118.371826171875,429.6554565429688,125.6339340209961,83.39163970947266,67.21510314941406,147.9066925048828,39.50214385986328,67.80318450927734,146.6653289794922,57.33639907836914,155.47573852539062,38.51219177246094
2019-03-31,45.30384826660156,110.56907653808594,4.455997943878174,58.36214065551758,165.39210510253906,25.08384704589844,156.4688720703125,266.489990234375,83.06851959228516,23.27023696899414,162.91622924804688,33.99371337890625,99.36270904541016,39.96636199951172,38.7230110168457,114.98367309570312,219.6241455078125,29.01727867126465,59.7250862121582,63.84840774536133,268.7235107421875,70.69957733154297,74.83934783935547,89.0374984741211,18.65733337402344,161.5164794921875,76.5541763305664,63.80356597900391,66.272705078125,219.5178375244141,58.61677551269531,90.60112762451172,52.25146484375,36.00101089477539,71.19085693359375,71.72671508789062,116.7773208618164,372.4865417480469,129.58880615234375,84.5570068359375,68.93730163574219,144.81517028808594,40.68056106567383,68.06031036376953,164.0753631591797,59.31749725341797,158.71095275878906,40.00748062133789
2019-04-30,47.86061477661133,122.43789672851562,4.491734504699707,59.45659637451172,191.89410400390625,26.55946159362793,163.3650665283203,289.25,95.9583969116211,25.79209518432617,174.73667907714844,39.11222839355469,106.94900512695312,40.04081344604492,41.45790481567383,116.14344787597656,207.0201416015625,27.746448516845703,59.61587142944336,60.42453384399414,272.3853454589844,70.65147399902344,72.97410583496094,96.32599639892578,15.912667274475098,168.04010009765625,79.84507751464844,66.67018127441406,63.92764663696289,222.591064453125,58.23954772949219,88.30631256103516,49.41732406616211,35.265621185302734,71.9919662475586,71.04843139648438,120.89292907714844,368.8439025878906,141.58380126953125,80.37985229492188,76.2754898071289,150.06092834472656,40.9162483215332,68.90727233886719,163.35731506347656,63.208797454833984,162.61721801757812,39.093544006347656
2019-05-31,41.91572189331055,116.37956237792967,3.3654401302337646,54.87148666381836,176.08815002441406,20.990650177001957,149.59242248535156,270.8999938964844,87.61524200439453,22.43524742126465,155.5527801513672,32.98396301269531,104.64999389648438,37.05401992797852,37.82837677001953,108.6150131225586,214.7743988037109,28.619802474975582,57.603397369384766,60.808353424072266,262.10650634765625,67.60554504394531,76.07186889648438,88.75350189208984,12.343999862670898,169.623046875,70.3221206665039,65.5826416015625,67.0280532836914,217.78358459472656,51.92894744873047,84.56262969970703,46.390323638916016,28.663646697998047,61.37118148803711,61.523563385009766,103.88885498046876,335.5255432128906,134.6360321044922,70.988037109375,67.9246826171875,126.994140625,41.97330093383789,65.440185546875,174.6242218017578,60.73552703857422,163.65960693359375,37.15220260620117
2019-06-30,47.38651657104492,126.05277252197266,4.08021879196167,53.69620132446289,191.4972381591797,24.242172241210938,149.9085693359375,294.6499938964844,92.44418334960938,24.59163856506348,174.39910888671875,35.513084411621094,112.6144027709961,39.517608642578125,36.53742980957031,115.34808349609376,217.69715881347656,29.860536575317383,54.60719680786133,64.80035400390625,288.51123046875,74.68314361572266,80.02421569824219,94.68150329589844,14.897333145141602,177.6562957763672,76.53023529052734,72.28231048583984,72.16034698486328,240.21823120117188,56.22886276245117,92.42839050292967,47.99542999267578,33.30559539794922,69.8258285522461,71.22420501708984,118.1788558959961,357.526611328125,143.0594940185547,78.89510345458984,70.02210998535156,150.82339477539062,43.38151550292969,67.45055389404297,171.7488250732422,66.48360443115234,182.01519775390625,39.052528381347656
2019-07-31,51.0065803527832,128.22640991210938,4.191769599914551,60.41070556640625,192.71763610839844,24.42155265808105,152.6453094482422,298.8599853515625,96.5960922241211,26.016260147094727,187.63674926757807,36.40273666381836,113.81763458251952,40.42789077758789,39.29206466674805,107.84481811523438,222.1579742431641,26.7724666595459,50.7894172668457,64.13572692871094,272.7929077148437,77.63687133789062,84.2231674194336,93.33899688720705,16.107332229614258,180.27423095703125,78.4264144897461,81.64633178710938,71.98539733886719,250.55381774902344,54.56319046020508,91.44052124023438,46.72099304199219,33.49834060668945,64.55628967285156,78.0923080444336,115.0513153076172,335.10321044921875,141.31419372558594,91.27140045166016,71.85063934326172,150.76876831054688,43.87068557739258,66.2886734008789,177.77200317382812,66.9068603515625,173.3857879638672,38.17877578735352
2019-08-31,50.16695022583008,130.15452575683594,4.165828227996826,59.03854751586914,184.2242889404297,23.802570343017575,154.19647216796875,284.510009765625,91.48316192626952,23.32814216613769,174.9018096923828,33.894744873046875,110.15701293945312,39.32912063598633,34.95002746582031,107.10095977783205,208.7666473388672,24.733917236328125,50.11851119995117,66.82511901855469,282.0078430175781,76.05023193359375,89.1390609741211,88.81449890136719,15.040666580200195,187.46270751953125,77.23065185546875,83.57433319091797,89.86695861816406,268.5360717773437,50.87340545654297,88.33592224121094,41.264404296875,27.17916679382324,55.78836441040039,75.7900390625,103.98043060302734,359.8366394042969,135.56777954101562,91.42316436767578,70.46027374267578,140.99363708496094,46.65309143066406,71.65279388427734,193.37181091308597,69.40521240234375,172.0396728515625,40.17509078979492
2019-09-30,53.82722091674805,131.2591094970703,4.328969478607178,60.55649948120117,176.6934051513672,23.46320915222168,146.65806579589844,276.25,98.0033950805664,24.898826599121094,177.74951171875,34.85872268676758,108.2443618774414,42.59740447998047,38.20119857788086,107.9520492553711,194.79965209960935,24.998306274414062,57.72702407836914,65.48772430419922,286.3264465332031,74.57952117919922,90.19477081298828,86.79550170898438,16.058000564575195,184.65904235839844,85.84026336669922,76.52899932861328,89.7578125,262.4777526855469,52.45576477050781,88.99626922607422,45.06027603149414,29.08588409423828,55.81092834472656,78.68704223632812,110.36780548095705,376.0252685546875,139.33944702148438,92.31686401367188,73.85774993896484,154.23097229003906,49.615234375,74.06336975097656,186.55908203125,71.17398071289062,176.4200897216797,41.69478225708008
2019-10-31,59.7850456237793,135.35655212402344,4.999191761016846,62.42406463623047,190.15773010253903,24.88934898376465,154.61143493652344,277.92999267578125,104.8572998046875,26.69133949279785,183.02462768554688,37.903263092041016,107.73970794677734,43.60237503051758,37.17835998535156,110.17147064208984,226.51324462890625,26.695940017700195,61.5312614440918,67.41704559326172,296.8547058105469,74.82479858398438,90.42728424072266,88.83300018310547,20.994667053222656,169.16964721679688,81.84620666503906,73.18811798095703,89.7578125,271.2649841308594,50.197364807128906,87.15032196044922,43.98281097412109,27.826086044311523,52.3364143371582,89.76776885986328,121.3540496826172,335.9391174316406,142.24647521972656,88.73422241210938,77.67726135253906,159.22328186035156,50.7545166015625,72.82717895507812,183.9859313964844,73.29534149169922,180.6366424560547,42.20539474487305
