,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,0.04477631962187245,0.07735744719015591,0.07421908216191553,0.00058614556579073,-0.031435620750987825,0.02650516263022684,0.07685731672565743,0.05923651134662289,0.008309207177184419,0.02664086542215416,-0.0026039071372202516,-0.007565186550839154,0.049075106214692354,0.020036739727760988,-0.012591143430879193,0.033560496579501775,-0.10355282112707231,0.02120162093950495,-0.013078032764352376,0.09216714689503269,0.05658026084774748,0.06357893243734436,0.023871820621876427,-0.04590598487961817,0.04188646728344536,0.034849804564915265,0.047019757916633376,0.036493864021400535,0.0038890579391932523,0.021901928915329938,0.09043969530958185,0.05348533413141365,0.006915103158562141,0.008144522491716932,-0.052419412470631754,0.018475443183379348,0.03139077126800327,0.14664762177483337,0.07840759888409954,0.054715613093774484,0.07069371453030482,0.0002437350445281261,0.05584408592721779,0.03210823091047832,0.01915049188622575,0.013013069616239159,0.06275675814932513,0.033781227990880014
2019-03-31,0.09702554749750991,0.052753807381308304,0.16400882986589282,0.04468525678778423,0.03245589185858955,0.10181636209647027,-0.032263958279461935,0.015199962797619149,-0.029992227790939352,-0.051237932360249205,-0.023944932934642726,0.005240846680050648,0.014479286811659886,-0.03146924257646688,-0.07063712824359014,0.023053274167720295,0.024703816829652725,-0.020299845962041707,0.017037086261608936,0.030069960540034746,0.055287681546003054,0.02988920178025789,0.011925113764093664,0.08593570731353273,-0.12510938574404096,0.03296332898326848,-0.015202849422775166,0.058069737734654625,0.10490088926977492,0.10697659780881086,0.02239645814911162,0.0301052782604343,-0.016359457809526412,-0.011121187687855194,0.012553494449859315,-0.012349720346425896,-0.013470310982136802,-0.1330575788677424,0.031479330502272695,0.013974627798720052,0.025622195096536737,-0.020901841319281855,0.029831727867506874,0.003792238614648058,0.11870586116587845,0.03455219035190904,0.020808482815922513,0.038826376273557006
2019-04-30,0.05643596753555791,0.1073430344364088,0.008019878211710019,0.01875283714238929,0.16023738790274544,0.05882728215609867,0.0440739066292295,0.0854066216356113,0.1551716267799368,0.10837269163576702,0.07255538557244923,0.15057240018457563,0.07634952946055362,0.0018628527293556019,0.0706270955437418,0.010086430090888943,-0.0573889718596613,-0.043795635311502434,-0.0018286249487675654,-0.053625047550476146,0.013626774623043847,-0.000680390666183972,-0.02492327977521025,0.08185874546916994,-0.1471092382028042,0.04038981425288113,0.04298787266512649,0.04492876301543203,-0.03538498147008873,0.013999896151350777,-0.006435491886131239,-0.025328769339242885,-0.05424040811225017,-0.020426918333545485,0.011252980347070674,-0.009456500141894253,0.03524321490644633,-0.009779250394018724,0.09256196945812012,-0.049400454170763,0.10644727886451033,0.036223815821264216,0.005793608782309834,0.012444286112872627,-0.004376330985210175,0.0656012202401508,0.024612449178134987,-0.022844143165135722
2019-05-31,-0.12421263101296287,-0.0494808757130093,-0.2507482072432151,-0.07711692209577836,-0.08236810641753978,-0.20967335489820416,-0.08430593110052187,-0.06343995195683882,-0.0869455428159217,-0.13015025491614474,-0.109787475801296,-0.15668412751110983,-0.021496331150904324,-0.07459372727507418,-0.0875473100194416,-0.06482014173935313,0.037456535108900235,0.03147624308024999,-0.03375735373490929,0.006352048673955446,-0.037736388108573604,-0.04311203691405263,0.042450168125792054,-0.07861319674779288,-0.22426582233190806,0.009420053763499414,-0.11926792664704278,-0.016312235126154206,0.04849868264876589,-0.021597811530349342,-0.10835592869080723,-0.042394283633353846,-0.06125383121096184,-0.18720709476843467,-0.14752736052519833,-0.1340616228150242,-0.14065400041575993,-0.09033186977263552,-0.049071780124144926,-0.11684290176457834,-0.10948218374024676,-0.15371614699554914,0.025834543871129823,-0.05031525228486766,0.0689709348730616,-0.039128578866368224,0.006410077166016714,-0.049658874617028004
2019-06-30,0.1305189182154458,0.08311777382896768,0.21238787025406292,-0.021418871818729812,0.0875078086323764,0.15490335157752555,0.002113388133793359,0.08767072918087737,0.05511531138580472,0.09611621852473773,0.1211571321130509,0.07667730520896887,0.07610520151955091,0.06648640874561118,-0.034126417009580634,0.06199023670823234,0.013608512122698757,0.043352294322319906,-0.05201430294658049,0.06564888465231267,0.10074043750013106,0.1046896163203288,0.05195543187109042,0.06679174655008091,0.20684812952665022,0.047359418719126634,0.08828110650224619,0.10215613035199422,0.07656933850442904,0.10301348767031238,0.082803821856124,0.09301698434822803,0.03460002491582692,0.16194550361505056,0.1377624946956093,0.15767359851012208,0.13755085584699023,0.06557196183801328,0.06256469224765171,0.11138589919076103,0.030878721656821373,0.1876405795819811,0.033550245936376344,0.03072070059654597,-0.01646619637784219,0.09464110501465517,0.1121571239491026,0.05114974730540722
2019-07-31,0.07639438481009364,0.017243868156551878,0.027339418212730227,0.12504616856172968,0.006372927155243513,0.007399519114263731,0.018256061841079863,0.01428810976509709,0.044912602654618716,0.057931136970073904,0.07590428910653357,0.025051393505717057,0.01068452863858127,0.023034848673231245,0.07539213544944556,-0.06504889507863809,0.02049092167302735,-0.10341642414838825,-0.06991348694291544,-0.010256534634907166,-0.05448080037774761,0.03955012576018735,0.05247101373695373,-0.014179183493694625,0.08122252974300093,0.0147359550035846,0.02477686357581943,0.12954789682745327,-0.002424456828523769,0.043025820713815666,-0.02962308359824073,-0.010687941846872051,-0.026553297905198003,0.005787171988287154,-0.07546690083958951,0.09642933923510677,-0.026464468323600165,-0.06271813109409874,-0.012199821514414011,0.15687028034881556,0.02611359980858441,-0.00036218827274836496,0.011276002435411714,-0.017225662742358483,0.035069690276002596,0.006366320298540007,-0.04741038054254387,-0.02237377783742822
2019-08-31,-0.016461211889640226,0.015036807519201112,-0.006188644509052543,-0.022713822619217172,-0.044071457804678915,-0.025345739631286612,0.01016187608602892,-0.04801571401088367,-0.052931026298544404,-0.10332453495462224,-0.067870178016326,-0.06889569358295644,-0.032162165876083004,-0.02717851761414891,-0.11050672032010322,-0.006897487986928574,-0.06027839851312,-0.07614350403872538,-0.013209564176915323,0.041932823071189285,0.033779966568511455,-0.020436673670059635,0.05836747423907984,-0.048473822697145175,-0.06622236595163389,0.039875230776679205,-0.015246937426084739,0.02361406032099289,0.24840539804372308,0.07177002605617,-0.06762406986360525,-0.033952113974361264,-0.11679094107038523,-0.188641398302706,-0.1358182960465032,-0.029481379659359375,-0.09622562484391595,0.07380839151592133,-0.04066409773195967,0.0016627762394858525,-0.01935077562697185,-0.06483525291824066,0.06342289427784342,0.0809206189865812,0.08775176889920133,0.03734074559250944,-0.007763699251897238,0.05228860698835369
2019-09-30,0.07296179405845882,0.008486710191684343,0.03916178048675789,0.025711201057648347,-0.04087888645073112,-0.014257333804936989,-0.04888831933754356,-0.02903240477348923,0.07127249448977113,0.06733002661752252,0.016281718476073737,0.02844033248609157,-0.017362953215361743,0.08310086244348036,0.09302342080389092,0.007946609248922876,-0.06690242630848409,0.010689331397034652,0.15181043283714657,-0.020013353271905565,0.01531377095549713,-0.019338675464905086,0.011843403187449697,-0.022732743159706414,0.0676388894701141,-0.0149558554777659,0.11147920293800828,-0.08430021028358392,-0.001214530010165471,-0.022560541128418876,0.031103860647121895,0.007475407151579017,0.09198901085085098,0.07015363329122959,0.00040445592131321817,0.038224062286590366,0.06142862499113111,0.04498882931207504,0.02782126765842352,0.009775417993648894,0.048218322408124736,0.09388604676607848,0.06349296163445639,0.03364245462071458,-0.035231241046287054,0.025484661012104892,0.025461667053370052,0.037826708973391465
2019-10-31,0.11068423384231418,0.031216443892182477,0.15482259362690365,0.03084004476858926,0.0762016269913266,0.060781959632658866,0.054230697080742685,0.006081421450791824,0.06993538048846837,0.07199186220847986,0.029677245893893645,0.08733941379983934,-0.004662172901304995,0.02359229541812624,-0.02677503928166114,0.02055932612699629,0.16280107375695096,0.06790995056427773,0.06590045869258909,0.029460808259278437,0.036770125165936696,0.0032888036944593857,0.0025779036371906816,0.023474701269111886,0.3074272210164204,-0.08388105420550551,-0.04652894277127306,-0.04365510299318831,0.0,0.033478004727660826,-0.043053417927644944,-0.02074184998627082,-0.023911639081393488,-0.04331303961210231,-0.06225508355831999,0.1408202203134714,0.0995421097102065,-0.10660493981461494,0.02086292331699835,-0.03880809470555591,0.05171442965336226,0.03236904686643749,0.022962346966893588,-0.016690987731923124,-0.013792684905763908,0.029805284987023173,0.023900638192776213,0.012246436128258376
