Date,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,BLK,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-01-23,92522400,25874300,591020000,25194000,20098400,31771000,3335400,2031400,12146700,79425900,3410700,15583900,660100,3585100,16806700,6993100,9267800,2971100,24462813,4969300,14369233,1945700,10196300,4642900,104504000,187950000,2530700,5823000,12372400,4446600,2220200,13187200,6082300,5938700,13765800,2679100,2542400,3123600,2924900,3147244,4573100,19960859,1780800,9089200,2629400,1700200,2507600,1569500,15109000
2019-01-24,101766000,23164800,708972000,29114000,20955500,35999000,6734700,3643000,11296800,59492300,2631800,13421600,838400,3415900,17862100,4317700,9917000,2927300,34394023,8372600,21986621,1672500,6437600,4515400,81798000,120183000,3214200,4753200,29719800,4057000,1994400,11272500,8470700,5789900,10990900,3128900,3194000,3943600,2801300,2872339,2807000,14356933,1602100,9812800,2504400,1275900,1846200,2528000,12494100
2019-01-25,134142000,31225600,1154572000,23260000,22237200,30333000,4600800,3822300,14369400,72182100,3275000,13422700,573000,3488300,20183400,7786800,7585100,2809100,35862455,21308600,14054099,2003300,4824100,5283500,98918000,108744000,4405600,4457100,21885800,5544200,2252300,8996200,6261800,4504500,15921400,2417700,2044800,6417400,3185600,3401884,3445500,7375185,1826400,15254400,2472900,1482100,2598000,1242700,17800300
2019-01-28,104768400,29476700,2511528000,29334000,15508500,31320000,4054700,2110400,12283100,59963800,2369600,10396600,640400,3185400,19913100,7852500,6927700,2837300,39329694,14718800,13376672,1799200,5942500,5143400,96754000,96349500,4138700,5452000,11537700,3511100,1999400,13678400,6886600,5942800,11225300,2953000,2349500,17421400,3128900,3690476,3126200,14161009,2199400,11976800,2079100,1180500,2246400,1422500,25955700
2019-01-29,166348800,31490500,1153932000,19704000,17632100,27870000,3915100,1937100,9743300,51451900,2694100,9916400,602800,2827400,11927600,5303300,6669300,2173000,51376808,13909000,11966693,1736800,5981600,3670600,92656000,69325500,3666700,4187500,10703400,3320600,1636500,10513200,5359900,5308800,8097500,2873300,2056500,8550800,3202700,2572395,2209000,17208552,2199700,7924400,3625500,1849700,2977600,1558300,33789200
2019-01-30,244439200,49471900,974228000,29452000,44613200,28727000,4653400,2482900,12526300,66475800,2773300,12347900,869900,3501500,16885100,7874900,7299300,3659000,36067880,9277200,13941230,2539400,8145000,5385700,115676000,168754500,9489900,5200200,11702500,3789300,1589800,11524700,7941700,8087400,7961500,3000600,3093300,7181600,12705300,3302681,4013000,11627984,1988800,8345600,2215100,2159500,3085000,1113500,27260000
2019-01-31,162958400,55636400,842852000,40232000,77233600,21063000,8615900,5007200,17520600,100201200,5604500,11163400,750100,4302100,24934700,8322200,17298100,4055100,40927452,11563900,16797658,2218000,10421900,9536200,218206000,188538000,10440100,8599200,24233300,6699400,4341100,19876700,11225600,9927700,15458100,2500700,4044500,6643300,6878500,3685490,7327400,9663345,3118800,12519600,6869400,4046100,4867600,1645900,28585400
2019-02-01,130672400,35535700,625048000,33116000,30806500,22878000,5959200,3033300,13000800,64244100,3174200,13322100,585900,4727800,21123500,6323300,9575200,3946800,27239681,6759500,15941757,1622500,5016500,5727400,230124000,109251000,6529200,5351900,10309200,5916200,3453700,22968700,10934300,7486400,8583700,2614700,2618100,5646700,5625700,5874227,3526100,6572581,1704300,8934000,3207100,3446200,3646100,1324300,13778000
2019-02-04,125982000,31315100,528592000,78408000,20036000,20761000,5264700,3705100,9871500,55195900,2400200,8715300,534800,2578300,17547800,5377700,7759000,3398900,19426485,10205600,11824165,1200500,5278300,4970900,98582000,110281500,4533800,4236600,13562400,3622300,1630300,15483800,7987900,5593100,12786700,1788400,2758500,4541700,4256600,4979061,3184700,7857128,1907900,11302000,3301800,2846800,3715700,2106500,15818900
2019-02-05,144406400,27325400,542424000,82296000,22557000,22619000,4575600,3042000,12763000,46622600,2601000,9971500,523400,2231200,14784900,11507300,6449800,3597000,21127641,7965500,12955690,1626100,4302400,5640800,89062000,101142000,4495900,6545600,12781600,3526200,2074500,12786700,6887400,4483900,10662700,1978000,2849300,3614500,7230400,3143425,3690400,7192132,1574600,7956800,3464300,1671100,2558800,2358600,14124600
2019-02-06,112958400,20609800,702464000,48256000,13281200,27064000,4205100,2539100,8745000,35606900,2063100,9744000,424600,3595700,12145700,6299300,5066100,2570000,16450410,4907200,8375721,1033100,4851900,3417400,78798000,75577500,3965200,3682800,10283400,3399300,1618800,10866900,4990400,4071300,6945800,2723700,3127800,3098200,5356000,3339179,4490600,5565473,1660500,6647200,2467400,1422900,2297600,1124800,11391400
2019-02-07,126966800,29760700,637120000,38298000,17517600,28646000,4545500,2099300,13177500,62289200,2948800,12745400,469400,3857300,24189700,6526100,6085300,2458200,24248008,5877500,9661407,1147600,6863600,4304900,92532000,97809000,4176300,4827500,10109200,3711600,2526600,14418900,7281900,6230300,12647300,3459000,5291500,3682100,5211400,3142364,3395700,7384719,2488100,8516800,2844600,1113600,3189100,1361000,12436200
2019-02-08,95280000,21461100,461604000,21766000,12561400,23903000,3018700,2756800,12892600,50031300,2757500,13993900,567000,2581900,20641200,6512100,4436700,4547000,27500125,4598900,9266940,794600,6063700,3982200,113150000,87663000,4051600,3786500,8862000,4146200,2013700,11959500,5671000,6554900,9173500,3073000,4248400,3135000,4570900,4193178,2951000,6263679,1628300,7322400,3716600,1294600,2506300,1557900,12011700
2019-02-11,83973600,18914100,495180000,18498000,12811200,18012000,7125500,3538100,10978500,47724400,2056500,17058300,595600,2653800,15995900,4456200,4962200,4856200,27102134,4803500,13803942,1233000,4782700,4020000,66346000,106945500,3216400,6158500,9229700,6661000,2376600,10434800,4859600,5200400,9541800,2625700,4229500,2648100,3046900,3159340,2765300,6222365,1843900,7404400,2428100,1211000,2340400,1128400,9802800
